Comunidad;Anyo;Labor;Unidad;Total
Navarra (Comunidad Foral de);2018;P. PIPA;cantidad;7952
País Vasco;2018;CIGARRILLOS;cantidad;117312935
País Vasco;2018;CIGARROS;cantidad;151900796
País Vasco;2018;P. LIAR;cantidad;246471
País Vasco;2018;P. PIPA;cantidad;20987
Rioja (La);2018;CIGARRILLOS;cantidad;15943138
Rioja (La);2018;CIGARROS;cantidad;25116285
Rioja (La);2018;P. LIAR;cantidad;27165
Rioja (La);2018;P. PIPA;cantidad;3206
Andalucía;2017;CIGARRILLOS;cantidad;353765099
Andalucía;2017;CIGARROS;cantidad;314046155
Andalucía;2017;P. LIAR;cantidad;874441
Andalucía;2017;P. PIPA;cantidad;238412
Aragón;2017;CIGARRILLOS;cantidad;70773639
Aragón;2017;CIGARROS;cantidad;88998661
Aragón;2017;P. LIAR;cantidad;155511
Aragón;2017;P. PIPA;cantidad;15213
Asturias (Principado de);2017;CIGARRILLOS;cantidad;54144592
Asturias (Principado de);2017;CIGARROS;cantidad;78830962
Asturias (Principado de);2017;P. LIAR;cantidad;109373
Asturias (Principado de);2017;P. PIPA;cantidad;8637
Balears (Illes);2017;CIGARRILLOS;cantidad;89302842
Balears (Illes);2017;CIGARROS;cantidad;52191531
Balears (Illes);2017;P. LIAR;cantidad;301240
Balears (Illes);2017;P. PIPA;cantidad;22554
Cantabria;2017;CIGARRILLOS;cantidad;30688629
Cantabria;2017;CIGARROS;cantidad;45632777
Cantabria;2017;P. LIAR;cantidad;64098
Cantabria;2017;P. PIPA;cantidad;4506
Castilla y León;2017;CIGARRILLOS;cantidad;118163400
Castilla y León;2017;CIGARROS;cantidad;161955768
Castilla y León;2017;P. LIAR;cantidad;246326
Castilla y León;2017;P. PIPA;cantidad;30443
Castilla-La Mancha;2017;CIGARRILLOS;cantidad;101227177
Castilla-La Mancha;2017;CIGARROS;cantidad;99880340
Castilla-La Mancha;2017;P. LIAR;cantidad;224083
Castilla-La Mancha;2017;P. PIPA;cantidad;37592
Cataluña;2017;CIGARRILLOS;cantidad;415171238
Cataluña;2017;CIGARROS;cantidad;353794795
Cataluña;2017;P. LIAR;cantidad;1281777
Cataluña;2017;P. PIPA;cantidad;142295
Comunidad Valenciana;2017;CIGARRILLOS;cantidad;277608531
Comunidad Valenciana;2017;CIGARROS;cantidad;247446221
Comunidad Valenciana;2017;P. LIAR;cantidad;893241
Comunidad Valenciana;2017;P. PIPA;cantidad;112867
Extremadura;2017;CIGARRILLOS;cantidad;54416287
Extremadura;2017;CIGARROS;cantidad;65317514
Extremadura;2017;P. LIAR;cantidad;113168
Extremadura;2017;P. PIPA;cantidad;20606
Galicia;2017;CIGARRILLOS;cantidad;126059512
Galicia;2017;CIGARROS;cantidad;148874478
Galicia;2017;P. LIAR;cantidad;273885
Galicia;2017;P. PIPA;cantidad;20193
Madrid (Comunidad de);2017;CIGARRILLOS;cantidad;290229715
Madrid (Comunidad de);2017;CIGARROS;cantidad;180941074
Madrid (Comunidad de);2017;P. LIAR;cantidad;633001
Madrid (Comunidad de);2017;P. PIPA;cantidad;86535
Murcia (Región de);2017;CIGARRILLOS;cantidad;78724777
