Comunidad;Anyo;Labor;Unidad;Total
Asturias (Principado de);2012;CIGARROS;euros;16550364
Asturias (Principado de);2012;P. LIAR;euros;15434536
Asturias (Principado de);2012;P. PIPA;euros;458697
Balears (Illes);2012;CIGARRILLOS;euros;394494933
Balears (Illes);2012;CIGARROS;euros;14494020
Balears (Illes);2012;P. LIAR;euros;45718532
Balears (Illes);2012;P. PIPA;euros;1057981
Cantabria;2012;CIGARRILLOS;euros;149314870
Cantabria;2012;CIGARROS;euros;10078074
Cantabria;2012;P. LIAR;euros;8993061
Cantabria;2012;P. PIPA;euros;322655
Castilla y León;2012;CIGARRILLOS;euros;581240483
Castilla y León;2012;CIGARROS;euros;38130676
Castilla y León;2012;P. LIAR;euros;35680282
Castilla y León;2012;P. PIPA;euros;1974163
Castilla-La Mancha;2012;CIGARRILLOS;euros;503843692
Castilla-La Mancha;2012;CIGARROS;euros;20678462
Castilla-La Mancha;2012;P. LIAR;euros;40873252
Castilla-La Mancha;2012;P. PIPA;euros;2417017
Cataluña;2012;CIGARRILLOS;euros;1997772835
Cataluña;2012;CIGARROS;euros;88293928
Cataluña;2012;P. LIAR;euros;172940507
Cataluña;2012;P. PIPA;euros;6549684
Comunidad Valenciana;2012;CIGARRILLOS;euros;1282685158
Comunidad Valenciana;2012;CIGARROS;euros;45868003
Comunidad Valenciana;2012;P. LIAR;euros;148270566
Comunidad Valenciana;2012;P. PIPA;euros;7395721
Extremadura;2012;CIGARRILLOS;euros;285868343
Extremadura;2012;CIGARROS;euros;12845496
Extremadura;2012;P. LIAR;euros;21551258
Extremadura;2012;P. PIPA;euros;1285962
Galicia;2012;CIGARRILLOS;euros;586168218
Galicia;2012;CIGARROS;euros;29249140
Galicia;2012;P. LIAR;euros;35916580
Galicia;2012;P. PIPA;euros;935386
Madrid (Comunidad de);2012;CIGARRILLOS;euros;1425136876
Madrid (Comunidad de);2012;CIGARROS;euros;45547263
Madrid (Comunidad de);2012;P. LIAR;euros;92049343
Madrid (Comunidad de);2012;P. PIPA;euros;3700435
Murcia (Región de);2012;CIGARRILLOS;euros;376402464
Murcia (Región de);2012;CIGARROS;euros;11099331
Murcia (Región de);2012;P. LIAR;euros;31020044
Murcia (Región de);2012;P. PIPA;euros;1767431
Navarra (Comunidad Foral de);2012;CIGARRILLOS;euros;229788331
Navarra (Comunidad Foral de);2012;CIGARROS;euros;13797608
Navarra (Comunidad Foral de);2012;P. LIAR;euros;16330960
Navarra (Comunidad Foral de);2012;P. PIPA;euros;398481
País Vasco;2012;CIGARRILLOS;euros;573210850
País Vasco;2012;CIGARROS;euros;45997329
País Vasco;2012;P. LIAR;euros;29545165
País Vasco;2012;P. PIPA;euros;746529
Rioja (La);2012;CIGARRILLOS;euros;71765721
Rioja (La);2012;CIGARROS;euros;6747525
Rioja (La);2012;P. LIAR;euros;3807739
Rioja (La);2012;P. PIPA;euros;167634
Andalucía;2012;CIGARRILLOS;cantidad;430355030
Andalucía;2012;CIGARROS;cantidad;332744747
Andalucía;2012;P. LIAR;cantidad;1084878
Andalucía;2012;P. PIPA;cantidad;229567
Aragón;2012;CIGARRILLOS;cantidad;83938465
Aragón;2012;CIGARROS;cantidad;99275764
Aragón;2012;P. LIAR;cantidad;182924
Aragón;2012;P. PIPA;cantidad;22008
Asturias (Principado de);2012;CIGARRILLOS;cantidad;66421497
Asturias (Principado de);2012;CIGARROS;cantidad;84149043
Asturias (Principado de);2012;P. LIAR;cantidad;116078
Asturias (Principado de);2012;P. PIPA;cantidad;8675
Balears (Illes);2012;CIGARRILLOS;cantidad;96144941
Balears (Illes);2012;CIGARROS;cantidad;55005109
Balears (Illes);2012;P. LIAR;cantidad;341179
Balears (Illes);2012;P. PIPA;cantidad;20360
Cantabria;2012;CIGARRILLOS;cantidad;36718431
Cantabria;2012;CIGARROS;cantidad;50890009
Cantabria;2012;P. LIAR;cantidad;67335
Cantabria;2012;P. PIPA;cantidad;6497
Castilla y León;2012;CIGARRILLOS;cantidad;143602578
Castilla y León;2012;CIGARROS;cantidad;169785454
Castilla y León;2012;P. LIAR;cantidad;267586
Castilla y León;2012;P. PIPA;cantidad;42590
Castilla-La Mancha;2012;CIGARRILLOS;cantidad;125036371
Castilla-La Mancha;2012;CIGARROS;cantidad;112580412
Castilla-La Mancha;2012;P. LIAR;cantidad;307527
Castilla-La Mancha;2012;P. PIPA;cantidad;55243
Cataluña;2012;CIGARRILLOS;cantidad;491919032
Cataluña;2012;CIGARROS;cantidad;351577851
Cataluña;2012;P. LIAR;cantidad;1306343
Cataluña;2012;P. PIPA;cantidad;141427
Comunidad Valenciana;2012;CIGARRILLOS;cantidad;319849619
Comunidad Valenciana;2012;CIGARROS;cantidad;257151913
Comunidad Valenciana;2012;P. LIAR;cantidad;1115418
Comunidad Valenciana;2012;P. PIPA;cantidad;160561
Extremadura;2012;CIGARRILLOS;cantidad;71301254
Extremadura;2012;CIGARROS;cantidad;78521606
Extremadura;2012;P. LIAR;cantidad;162553
Extremadura;2012;P. PIPA;cantidad;27408
Galicia;2012;CIGARRILLOS;cantidad;145360996
Galicia;2012;CIGARROS;cantidad;159218570
Galicia;2012;P. LIAR;cantidad;269197
Galicia;2012;P. PIPA;cantidad;17951
Madrid (Comunidad de);2012;CIGARRILLOS;cantidad;352142101
Madrid (Comunidad de);2012;CIGARROS;cantidad;177757148
Madrid (Comunidad de);2012;P. LIAR;cantidad;688233
Madrid (Comunidad de);2012;P. PIPA;cantidad;83719
Murcia (Región de);2012;CIGARRILLOS;cantidad;92825640
Murcia (Región de);2012;CIGARROS;cantidad;53923272
Murcia (Región de);2012;P. LIAR;cantidad;232462
Murcia (Región de);2012;P. PIPA;cantidad;40610
Navarra (Comunidad Foral de);2012;CIGARRILLOS;cantidad;57127914
Navarra (Comunidad Foral de);2012;CIGARROS;cantidad;52239729
Navarra (Comunidad Foral de);2012;P. LIAR;cantidad;125530
Navarra (Comunidad Foral de);2012;P. PIPA;cantidad;8089
País Vasco;2012;CIGARRILLOS;cantidad;141257213
País Vasco;2012;CIGARROS;cantidad;162342402
País Vasco;2012;P. LIAR;cantidad;224183
País Vasco;2012;P. PIPA;cantidad;15338
Rioja (La);2012;CIGARRILLOS;cantidad;17731639
Rioja (La);2012;CIGARROS;cantidad;25957626
Rioja (La);2012;P. LIAR;cantidad;28402
Rioja (La);2012;P. PIPA;cantidad;3756
Andalucía;2011;CIGARRILLOS;euros;1912502841
Andalucía;2011;CIGARROS;euros;50529532
Andalucía;2011;P. LIAR;euros;97355836
Andalucía;2011;P. PIPA;euros;16832136
Aragón;2011;CIGARRILLOS;euros;351840786
Aragón;2011;CIGARROS;euros;16486082
Aragón;2011;P. LIAR;euros;17558312
Aragón;2011;P. PIPA;euros;1521474
Asturias (Principado de);2011;CIGARRILLOS;euros;271620110
Asturias (Principado de);2011;CIGARROS;euros;14630220
Asturias (Principado de);2011;P. LIAR;euros;11333267
Asturias (Principado de);2011;P. PIPA;euros;700374
Balears (Illes);2011;CIGARRILLOS;euros;407327321
Balears (Illes);2011;CIGARROS;euros;12903623
Balears (Illes);2011;P. LIAR;euros;38507854
Balears (Illes);2011;P. PIPA;euros;1506881
Cantabria;2011;CIGARRILLOS;euros;153486359
Cantabria;2011;CIGARROS;euros;8874757
Cantabria;2011;P. LIAR;euros;6926761
Cantabria;2011;P. PIPA;euros;493134
Castilla y León;2011;CIGARRILLOS;euros;601259847
Castilla y León;2011;CIGARROS;euros;35207074
Castilla y León;2011;P. LIAR;euros;25419976
Castilla y León;2011;P. PIPA;euros;2473763
Castilla-La Mancha;2011;CIGARRILLOS;euros;533822055
Castilla-La Mancha;2011;CIGARROS;euros;18196139
Castilla-La Mancha;2011;P. LIAR;euros;23464906
Castilla-La Mancha;2011;P. PIPA;euros;3608713
Cataluña;2011;CIGARRILLOS;euros;2111159901
Cataluña;2011;CIGARROS;euros;83871137
Cataluña;2011;P. LIAR;euros;138586631
Cataluña;2011;P. PIPA;euros;8329295
Comunidad Valenciana;2011;CIGARRILLOS;euros;1343365151
Comunidad Valenciana;2011;CIGARROS;euros;40028619
Comunidad Valenciana;2011;P. LIAR;euros;104700546
Comunidad Valenciana;2011;P. PIPA;euros;13197993
Extremadura;2011;CIGARRILLOS;euros;301109608
Extremadura;2011;CIGARROS;euros;10992638
Extremadura;2011;P. LIAR;euros;12280040
Extremadura;2011;P. PIPA;euros;1883250
Galicia;2011;CIGARRILLOS;euros;594004217
Galicia;2011;CIGARROS;euros;24820939
Galicia;2011;P. LIAR;euros;27046245
Galicia;2011;P. PIPA;euros;1299673
Madrid (Comunidad de);2011;CIGARRILLOS;euros;1452508657
Madrid (Comunidad de);2011;CIGARROS;euros;41539034
Madrid (Comunidad de);2011;P. LIAR;euros;66031007
Madrid (Comunidad de);2011;P. PIPA;euros;4622830
Murcia (Región de);2011;CIGARRILLOS;euros;396197299
Murcia (Región de);2011;CIGARROS;euros;9912239
Murcia (Región de);2011;P. LIAR;euros;18801154
Murcia (Región de);2011;P. PIPA;euros;3335263
Navarra (Comunidad Foral de);2011;CIGARRILLOS;euros;239222933
Navarra (Comunidad Foral de);2011;CIGARROS;euros;13099643
Navarra (Comunidad Foral de);2011;P. LIAR;euros;14286670
Navarra (Comunidad Foral de);2011;P. PIPA;euros;511606
País Vasco;2011;CIGARRILLOS;euros;596514527
País Vasco;2011;CIGARROS;euros;44459546
País Vasco;2011;P. LIAR;euros;26257435
País Vasco;2011;P. PIPA;euros;940912
Rioja (La);2011;CIGARRILLOS;euros;73780205
Rioja (La);2011;CIGARROS;euros;6177282
Rioja (La);2011;P. LIAR;euros;2731502
Rioja (La);2011;P. PIPA;euros;203027
Andalucía;2011;CIGARRILLOS;cantidad;509446768
Andalucía;2011;CIGARROS;cantidad;275465301
Andalucía;2011;P. LIAR;cantidad;778668
Andalucía;2011;P. PIPA;cantidad;393527
Aragón;2011;CIGARRILLOS;cantidad;93826391
Aragón;2011;CIGARROS;cantidad;82050077
Aragón;2011;P. LIAR;cantidad;141389
Aragón;2011;P. PIPA;cantidad;33824
Asturias (Principado de);2011;CIGARRILLOS;cantidad;72272313
Asturias (Principado de);2011;CIGARROS;cantidad;69948405
Asturias (Principado de);2011;P. LIAR;cantidad;91065
Asturias (Principado de);2011;P. PIPA;cantidad;14465
Balears (Illes);2011;CIGARRILLOS;cantidad;107317301
Balears (Illes);2011;CIGARROS;cantidad;43340142
Balears (Illes);2011;P. LIAR;cantidad;300334
Balears (Illes);2011;P. PIPA;cantidad;31328
Cantabria;2011;CIGARRILLOS;cantidad;40610317
Cantabria;2011;CIGARROS;cantidad;41046143
Cantabria;2011;P. LIAR;cantidad;55427
Cantabria;2011;P. PIPA;cantidad;10811
Castilla y León;2011;CIGARRILLOS;cantidad;159955412
Castilla y León;2011;CIGARROS;cantidad;146028792
Castilla y León;2011;P. LIAR;cantidad;204261
Castilla y León;2011;P. PIPA;cantidad;54882
Castilla-La Mancha;2011;CIGARRILLOS;cantidad;142378673
Castilla-La Mancha;2011;CIGARROS;cantidad;93596473
Castilla-La Mancha;2011;P. LIAR;cantidad;189772
Castilla-La Mancha;2011;P. PIPA;cantidad;82743
Cataluña;2011;CIGARRILLOS;cantidad;559575622
Cataluña;2011;CIGARROS;cantidad;313545416
Cataluña;2011;P. LIAR;cantidad;1114961
Cataluña;2011;P. PIPA;cantidad;187776
Comunidad Valenciana;2011;CIGARRILLOS;cantidad;359321582
Comunidad Valenciana;2011;CIGARROS;cantidad;215630330
Comunidad Valenciana;2011;P. LIAR;cantidad;832090
Comunidad Valenciana;2011;P. PIPA;cantidad;302323
Extremadura;2011;CIGARRILLOS;cantidad;80715744
Extremadura;2011;CIGARROS;cantidad;64837448
Extremadura;2011;P. LIAR;cantidad;99737
Extremadura;2011;P. PIPA;cantidad;41784
Galicia;2011;CIGARRILLOS;cantidad;158304677
Galicia;2011;CIGARROS;cantidad;128531825
Galicia;2011;P. LIAR;cantidad;217359
Galicia;2011;P. PIPA;cantidad;26609
Madrid (Comunidad de);2011;CIGARRILLOS;cantidad;385331528
Madrid (Comunidad de);2011;CIGARROS;cantidad;146875880
Madrid (Comunidad de);2011;P. LIAR;cantidad;527886
Madrid (Comunidad de);2011;P. PIPA;cantidad;107366
Murcia (Región de);2011;CIGARRILLOS;cantidad;104891433
Murcia (Región de);2011;CIGARROS;cantidad;43654333
Murcia (Región de);2011;P. LIAR;cantidad;150458
Murcia (Región de);2011;P. PIPA;cantidad;77070
Navarra (Comunidad Foral de);2011;CIGARRILLOS;cantidad;63897450
Navarra (Comunidad Foral de);2011;CIGARROS;cantidad;46878736
Navarra (Comunidad Foral de);2011;P. LIAR;cantidad;116584
Navarra (Comunidad Foral de);2011;P. PIPA;cantidad;11394
País Vasco;2011;CIGARRILLOS;cantidad;157973134
País Vasco;2011;CIGARROS;cantidad;146008006
País Vasco;2011;P. LIAR;cantidad;211948
País Vasco;2011;P. PIPA;cantidad;21702
Rioja (La);2011;CIGARRILLOS;cantidad;19615089
Rioja (La);2011;CIGARROS;cantidad;22524201
Rioja (La);2011;P. LIAR;cantidad;21839
Rioja (La);2011;P. PIPA;cantidad;4723
Andalucía;2010;CIGARRILLOS;euros;2133064139
Andalucía;2010;CIGARROS;euros;45205438
Andalucía;2010;P. LIAR;euros;80808852
Andalucía;2010;P. PIPA;euros;3939771
Aragón;2010;CIGARRILLOS;euros;367216606
Aragón;2010;CIGARROS;euros;16031721
Aragón;2010;P. LIAR;euros;11239494
Aragón;2010;P. PIPA;euros;288185
Asturias (Principado de);2010;CIGARRILLOS;euros;286488995
Asturias (Principado de);2010;CIGARROS;euros;14422680
Asturias (Principado de);2010;P. LIAR;euros;6706484
Asturias (Principado de);2010;P. PIPA;euros;227503
Balears (Illes);2010;CIGARRILLOS;euros;424739342
Balears (Illes);2010;CIGARROS;euros;12038470
Balears (Illes);2010;P. LIAR;euros;37134421
Balears (Illes);2010;P. PIPA;euros;711497
Cantabria;2010;CIGARRILLOS;euros;162965825
Cantabria;2010;CIGARROS;euros;8413994
Cantabria;2010;P. LIAR;euros;4663045
Cantabria;2010;P. PIPA;euros;137232
Castilla y León;2010;CIGARRILLOS;euros;642736947
Castilla y León;2010;CIGARROS;euros;37180204
Castilla y León;2010;P. LIAR;euros;15745587
Castilla y León;2010;P. PIPA;euros;586834
Castilla-La Mancha;2010;CIGARRILLOS;euros;561111617
Castilla-La Mancha;2010;CIGARROS;euros;17609901
Castilla-La Mancha;2010;P. LIAR;euros;14976643
Castilla-La Mancha;2010;P. PIPA;euros;579789
Cataluña;2010;CIGARRILLOS;euros;2226310509
Cataluña;2010;CIGARROS;euros;84655547
Cataluña;2010;P. LIAR;euros;106233142
Cataluña;2010;P. PIPA;euros;3472115
Comunidad Valenciana;2010;CIGARRILLOS;euros;1437334690
Comunidad Valenciana;2010;CIGARROS;euros;36380332
Comunidad Valenciana;2010;P. LIAR;euros;98463461
Comunidad Valenciana;2010;P. PIPA;euros;2944545
Extremadura;2010;CIGARRILLOS;euros;316399346
Extremadura;2010;CIGARROS;euros;9224856
Extremadura;2010;P. LIAR;euros;8116577
Extremadura;2010;P. PIPA;euros;300504
Galicia;2010;CIGARRILLOS;euros;638592770
Galicia;2010;CIGARROS;euros;23285807
Galicia;2010;P. LIAR;euros;16519855
Galicia;2010;P. PIPA;euros;369311
Madrid (Comunidad de);2010;CIGARRILLOS;euros;1508320899
Madrid (Comunidad de);2010;CIGARROS;euros;43567106
Madrid (Comunidad de);2010;P. LIAR;euros;39190039
Madrid (Comunidad de);2010;P. PIPA;euros;1638041
Murcia (Región de);2010;CIGARRILLOS;euros;415206504
Murcia (Región de);2010;CIGARROS;euros;10042856
Murcia (Región de);2010;P. LIAR;euros;14164433
Murcia (Región de);2010;P. PIPA;euros;668551
Navarra (Comunidad Foral de);2010;CIGARRILLOS;euros;242951169
Navarra (Comunidad Foral de);2010;CIGARROS;euros;14650005
Navarra (Comunidad Foral de);2010;P. LIAR;euros;10608953
Navarra (Comunidad Foral de);2010;P. PIPA;euros;300342
País Vasco;2010;CIGARRILLOS;euros;621405099
País Vasco;2010;CIGARROS;euros;48056397
País Vasco;2010;P. LIAR;euros;20447188
País Vasco;2010;P. PIPA;euros;506442
Rioja (La);2010;CIGARRILLOS;euros;76632638
Rioja (La);2010;CIGARROS;euros;6823414
Rioja (La);2010;P. LIAR;euros;1540665
Rioja (La);2010;P. PIPA;euros;67310
Andalucía;2010;CIGARRILLOS;cantidad;641136110
Andalucía;2010;CIGARROS;cantidad;215842975
Andalucía;2010;P. LIAR;cantidad;895667
Andalucía;2010;P. PIPA;cantidad;95259
Aragón;2010;CIGARRILLOS;cantidad;110831203
Aragón;2010;CIGARROS;cantidad;63678307
Aragón;2010;P. LIAR;cantidad;126256
Aragón;2010;P. PIPA;cantidad;6062
Asturias (Principado de);2010;CIGARRILLOS;cantidad;85988781
Asturias (Principado de);2010;CIGARROS;cantidad;55289611
Asturias (Principado de);2010;P. LIAR;cantidad;74237
Asturias (Principado de);2010;P. PIPA;cantidad;3906
Balears (Illes);2010;CIGARRILLOS;cantidad;125479752
Balears (Illes);2010;CIGARROS;cantidad;32894334
Balears (Illes);2010;P. LIAR;cantidad;401168
Balears (Illes);2010;P. PIPA;cantidad;12801
Cantabria;2010;CIGARRILLOS;cantidad;48562249
Cantabria;2010;CIGARROS;cantidad;29668098
Cantabria;2010;P. LIAR;cantidad;51783
Cantabria;2010;P. PIPA;cantidad;2578
Castilla y León;2010;CIGARRILLOS;cantidad;192731509
Castilla y León;2010;CIGARROS;cantidad;122587878
Castilla y León;2010;P. LIAR;cantidad;176897
Castilla y León;2010;P. PIPA;cantidad;11967
Castilla-La Mancha;2010;CIGARRILLOS;cantidad;168696863
Castilla-La Mancha;2010;CIGARROS;cantidad;73083509
Castilla-La Mancha;2010;P. LIAR;cantidad;170810
Castilla-La Mancha;2010;P. PIPA;cantidad;14054
Cataluña;2010;CIGARRILLOS;cantidad;666759767
Cataluña;2010;CIGARROS;cantidad;273816068
Cataluña;2010;P. LIAR;cantidad;1184722
Cataluña;2010;P. PIPA;cantidad;79668
Comunidad Valenciana;2010;CIGARRILLOS;cantidad;435002351
Comunidad Valenciana;2010;CIGARROS;cantidad;169204384
Comunidad Valenciana;2010;P. LIAR;cantidad;1083815
Comunidad Valenciana;2010;P. PIPA;cantidad;62683
Extremadura;2010;CIGARRILLOS;cantidad;95697290
Extremadura;2010;CIGARROS;cantidad;46164865
Extremadura;2010;P. LIAR;cantidad;92670
Extremadura;2010;P. PIPA;cantidad;5707
Galicia;2010;CIGARRILLOS;cantidad;191863786
Galicia;2010;CIGARROS;cantidad;93772439
Galicia;2010;P. LIAR;cantidad;183003
Galicia;2010;P. PIPA;cantidad;6337
Madrid (Comunidad de);2010;CIGARRILLOS;cantidad;452382778
Madrid (Comunidad de);2010;CIGARROS;cantidad;124783521
Madrid (Comunidad de);2010;P. LIAR;cantidad;434456
Madrid (Comunidad de);2010;P. PIPA;cantidad;39489
Murcia (Región de);2010;CIGARRILLOS;cantidad;123731501
Murcia (Región de);2010;CIGARROS;cantidad;36224809
Murcia (Región de);2010;P. LIAR;cantidad;158335
Murcia (Región de);2010;P. PIPA;cantidad;15560
Navarra (Comunidad Foral de);2010;CIGARRILLOS;cantidad;73629810
Navarra (Comunidad Foral de);2010;CIGARROS;cantidad;44903862
Navarra (Comunidad Foral de);2010;P. LIAR;cantidad;120454
Navarra (Comunidad Foral de);2010;P. PIPA;cantidad;6574
País Vasco;2010;CIGARRILLOS;cantidad;186027883
País Vasco;2010;CIGARROS;cantidad;133960833
País Vasco;2010;P. LIAR;cantidad;228520
País Vasco;2010;P. PIPA;cantidad;12114
Rioja (La);2010;CIGARRILLOS;cantidad;23015925
Rioja (La);2010;CIGARROS;cantidad;19724574
Rioja (La);2010;P. LIAR;cantidad;17059
Rioja (La);2010;P. PIPA;cantidad;1554
Andalucía;2009;CIGARRILLOS;euros;2125912913
Andalucía;2009;CIGARROS;euros;41377948
Andalucía;2009;P. LIAR;euros;73057943
Andalucía;2009;P. PIPA;euros;1556653
Aragón;2009;CIGARRILLOS;euros;354094062
Aragón;2009;CIGARROS;euros;15310994
Aragón;2009;P. LIAR;euros;6010453
Aragón;2009;P. PIPA;euros;200468
Asturias (Principado de);2009;CIGARRILLOS;euros;272984735
Asturias (Principado de);2009;CIGARROS;euros;13453067
Asturias (Principado de);2009;P. LIAR;euros;3037973
Asturias (Principado de);2009;P. PIPA;euros;154978
Balears (Illes);2009;CIGARRILLOS;euros;418949128
Balears (Illes);2009;CIGARROS;euros;12053725
Balears (Illes);2009;P. LIAR;euros;35457601
Balears (Illes);2009;P. PIPA;euros;615724
Cantabria;2009;CIGARRILLOS;euros;155360310
Cantabria;2009;CIGARROS;euros;7977222
Cantabria;2009;P. LIAR;euros;2210370
Cantabria;2009;P. PIPA;euros;80667
Castilla y León;2009;CIGARRILLOS;euros;613131918
Castilla y León;2009;CIGARROS;euros;35255376
Castilla y León;2009;P. LIAR;euros;8064885
Castilla y León;2009;P. PIPA;euros;311692
Castilla-La Mancha;2009;CIGARRILLOS;euros;528164635
Castilla-La Mancha;2009;CIGARROS;euros;16455497
Castilla-La Mancha;2009;P. LIAR;euros;9883360
Castilla-La Mancha;2009;P. PIPA;euros;186105
Cataluña;2009;CIGARRILLOS;euros;2192540997
Cataluña;2009;CIGARROS;euros;83772613
Cataluña;2009;P. LIAR;euros;86696640
Cataluña;2009;P. PIPA;euros;2605247
Comunidad Valenciana;2009;CIGARRILLOS;euros;1404498493
Comunidad Valenciana;2009;CIGARROS;euros;33430839
Comunidad Valenciana;2009;P. LIAR;euros;94795491
Comunidad Valenciana;2009;P. PIPA;euros;1234309
Extremadura;2009;CIGARRILLOS;euros;296954388
Extremadura;2009;CIGARROS;euros;8495530
Extremadura;2009;P. LIAR;euros;6673701
Extremadura;2009;P. PIPA;euros;120229
Galicia;2009;CIGARRILLOS;euros;609736893
Galicia;2009;CIGARROS;euros;21433402
Galicia;2009;P. LIAR;euros;8869605
Galicia;2009;P. PIPA;euros;257471
Madrid (Comunidad de);2009;CIGARRILLOS;euros;1430368221
Madrid (Comunidad de);2009;CIGARROS;euros;43593307
Madrid (Comunidad de);2009;P. LIAR;euros;21718482
Madrid (Comunidad de);2009;P. PIPA;euros;1190293
Murcia (Región de);2009;CIGARRILLOS;euros;394402857
Murcia (Región de);2009;CIGARROS;euros;9968312
Murcia (Región de);2009;P. LIAR;euros;12500478
Murcia (Región de);2009;P. PIPA;euros;219209
Navarra (Comunidad Foral de);2009;CIGARRILLOS;euros;238857914
Navarra (Comunidad Foral de);2009;CIGARROS;euros;14633560
Navarra (Comunidad Foral de);2009;P. LIAR;euros;8515346
Navarra (Comunidad Foral de);2009;P. PIPA;euros;252591
País Vasco;2009;CIGARRILLOS;euros;609620567
País Vasco;2009;CIGARROS;euros;48407856
País Vasco;2009;P. LIAR;euros;17143516
País Vasco;2009;P. PIPA;euros;431161
Rioja (La);2009;CIGARRILLOS;euros;74038531
Rioja (La);2009;CIGARROS;euros;6620392
Rioja (La);2009;P. LIAR;euros;774979
Rioja (La);2009;P. PIPA;euros;32222
Andalucía;2009;CIGARRILLOS;cantidad;737816203
Andalucía;2009;CIGARROS;cantidad;140831820
Andalucía;2009;P. LIAR;cantidad;1013433
Andalucía;2009;P. PIPA;cantidad;35617
Aragón;2009;CIGARRILLOS;cantidad;123634104
Aragón;2009;CIGARROS;cantidad;46603156
Aragón;2009;P. LIAR;cantidad;81797
Aragón;2009;P. PIPA;cantidad;3944
Asturias (Principado de);2009;CIGARRILLOS;cantidad;94908274
Asturias (Principado de);2009;CIGARROS;cantidad;41868595
Asturias (Principado de);2009;P. LIAR;cantidad;39828
Asturias (Principado de);2009;P. PIPA;cantidad;2392
Balears (Illes);2009;CIGARRILLOS;cantidad;142915427
Balears (Illes);2009;CIGARROS;cantidad;28103161
Balears (Illes);2009;P. LIAR;cantidad;470379
Balears (Illes);2009;P. PIPA;cantidad;10250
Cantabria;2009;CIGARRILLOS;cantidad;53571076
Cantabria;2009;CIGARROS;cantidad;22955839
Cantabria;2009;P. LIAR;cantidad;29368
Cantabria;2009;P. PIPA;cantidad;1309
Castilla y León;2009;CIGARRILLOS;cantidad;212558179
Castilla y León;2009;CIGARROS;cantidad;100549843
Castilla y León;2009;P. LIAR;cantidad;111642
Castilla y León;2009;P. PIPA;cantidad;6151
Castilla-La Mancha;2009;CIGARRILLOS;cantidad;183430293
Castilla-La Mancha;2009;CIGARROS;cantidad;50463489
Castilla-La Mancha;2009;P. LIAR;cantidad;139943
Castilla-La Mancha;2009;P. PIPA;cantidad;4730
Cataluña;2009;CIGARRILLOS;cantidad;758718236
Cataluña;2009;CIGARROS;cantidad;228961922
Cataluña;2009;P. LIAR;cantidad;1229758
Cataluña;2009;P. PIPA;cantidad;57228
Comunidad Valenciana;2009;CIGARRILLOS;cantidad;491021188
Comunidad Valenciana;2009;CIGARROS;cantidad;106967047
Comunidad Valenciana;2009;P. LIAR;cantidad;1298893
Comunidad Valenciana;2009;P. PIPA;cantidad;21531
Extremadura;2009;CIGARRILLOS;cantidad;104001473
Extremadura;2009;CIGARROS;cantidad;32083467
Extremadura;2009;P. LIAR;cantidad;99586
Extremadura;2009;P. PIPA;cantidad;1977
Galicia;2009;CIGARRILLOS;cantidad;212369453
Galicia;2009;CIGARROS;cantidad;64649964
Galicia;2009;P. LIAR;cantidad;119142
Galicia;2009;P. PIPA;cantidad;4090
Madrid (Comunidad de);2009;CIGARRILLOS;cantidad;496172326
Madrid (Comunidad de);2009;CIGARROS;cantidad;103938538
Madrid (Comunidad de);2009;P. LIAR;cantidad;285054
Madrid (Comunidad de);2009;P. PIPA;cantidad;26627
Murcia (Región de);2009;CIGARRILLOS;cantidad;135544748
Murcia (Región de);2009;CIGARROS;cantidad;25882256
Murcia (Región de);2009;P. LIAR;cantidad;175079
Murcia (Región de);2009;P. PIPA;cantidad;5101
Navarra (Comunidad Foral de);2009;CIGARRILLOS;cantidad;83861283
Navarra (Comunidad Foral de);2009;CIGARROS;cantidad;40423332
Navarra (Comunidad Foral de);2009;P. LIAR;cantidad;124409
Navarra (Comunidad Foral de);2009;P. PIPA;cantidad;5485
País Vasco;2009;CIGARRILLOS;cantidad;211559250
País Vasco;2009;CIGARROS;cantidad;126795817
País Vasco;2009;P. LIAR;cantidad;248144
País Vasco;2009;P. PIPA;cantidad;9578
Rioja (La);2009;CIGARRILLOS;cantidad;25743973
Rioja (La);2009;CIGARROS;cantidad;16584357
Rioja (La);2009;P. LIAR;cantidad;10060
Rioja (La);2009;P. PIPA;cantidad;814
Andalucía;2008;CIGARRILLOS;euros;2121064144
Andalucía;2008;CIGARROS;euros;43143388
Andalucía;2008;P. LIAR;euros;39126918
Andalucía;2008;P. PIPA;euros;1332899
Aragón;2008;CIGARRILLOS;euros;351823397
Aragón;2008;CIGARROS;euros;15643044
Aragón;2008;P. LIAR;euros;2653961
Aragón;2008;P. PIPA;euros;189192
Asturias (Principado de);2008;CIGARRILLOS;euros;260120607
Asturias (Principado de);2008;CIGARROS;euros;13377714
Asturias (Principado de);2008;P. LIAR;euros;950599
Asturias (Principado de);2008;P. PIPA;euros;151818
Balears (Illes);2008;CIGARRILLOS;euros;456390498
Balears (Illes);2008;CIGARROS;euros;13133867
Balears (Illes);2008;P. LIAR;euros;32830131
Balears (Illes);2008;P. PIPA;euros;749250
Cantabria;2008;CIGARRILLOS;euros;148705585
Cantabria;2008;CIGARROS;euros;8156124
Cantabria;2008;P. LIAR;euros;1528173
Cantabria;2008;P. PIPA;euros;69858
Castilla y León;2008;CIGARRILLOS;euros;598228677
Castilla y León;2008;CIGARROS;euros;35781149
Castilla y León;2008;P. LIAR;euros;2594037
