Comunidad;Año;Labor;Totales;Unidades
País Vasco;2019;CIGARROS;98702305;unidades
País Vasco;2019;P. LIAR;179422;unidades
País Vasco;2019;P. PIPA;25751;unidades
Rioja (La);2019;CIGARRILLOS;10604587;unidades
Rioja (La);2019;CIGARROS;16369869;unidades
Rioja (La);2019;P. LIAR;17966;unidades
Rioja (La);2019;P. PIPA;2270;unidades
Andalucía;2018;CIGARRILLOS;1599326881;euros
Andalucía;2018;CIGARROS;61471264;euros
Andalucía;2018;P. LIAR;152828472;euros
Andalucía;2018;P. PIPA;26031250;euros
Aragón;2018;CIGARRILLOS;321626564;euros
Aragón;2018;CIGARROS;17785814;euros
Aragón;2018;P. LIAR;26731782;euros
Aragón;2018;P. PIPA;1975295;euros
Asturias (Principado de);2018;CIGARRILLOS;242619326;euros
Asturias (Principado de);2018;CIGARROS;15724751;euros
Asturias (Principado de);2018;P. LIAR;18419633;euros
Asturias (Principado de);2018;P. PIPA;1423138;euros
Balears (Illes);2018;CIGARRILLOS;406311721;euros
Balears (Illes);2018;CIGARROS;14849931;euros
Balears (Illes);2018;P. LIAR;53654470;euros
Balears (Illes);2018;P. PIPA;3759448;euros
Cantabria;2018;CIGARRILLOS;140411619;euros
Cantabria;2018;CIGARROS;9549742;euros
Cantabria;2018;P. LIAR;11003391;euros
Cantabria;2018;P. PIPA;700446;euros
Castilla y León;2018;CIGARRILLOS;539361109;euros
Castilla y León;2018;CIGARROS;37670925;euros
Castilla y León;2018;P. LIAR;41731470;euros
Castilla y León;2018;P. PIPA;3808766;euros
Castilla-La Mancha;2018;CIGARRILLOS;461343706;euros
Castilla-La Mancha;2018;CIGARROS;18813918;euros
Castilla-La Mancha;2018;P. LIAR;37823211;euros
Castilla-La Mancha;2018;P. PIPA;3715020;euros
Cataluña;2018;CIGARRILLOS;1921356168;euros
Cataluña;2018;CIGARROS;92101863;euros
Cataluña;2018;P. LIAR;232671731;euros
Cataluña;2018;P. PIPA;18144873;euros
Comunidad Valenciana;2018;CIGARRILLOS;1246499142;euros
Comunidad Valenciana;2018;CIGARROS;48388617;euros
Comunidad Valenciana;2018;P. LIAR;155406472;euros
Comunidad Valenciana;2018;P. PIPA;14925270;euros
Extremadura;2018;CIGARRILLOS;241091160;euros
Extremadura;2018;CIGARROS;11336654;euros
Extremadura;2018;P. LIAR;19551795;euros
Extremadura;2018;P. PIPA;2238164;euros
Galicia;2018;CIGARRILLOS;571963422;euros
Galicia;2018;CIGARROS;28531697;euros
Galicia;2018;P. LIAR;46837146;euros
Galicia;2018;P. PIPA;2902805;euros
Madrid (Comunidad de);2018;CIGARRILLOS;1298927749;euros
Madrid (Comunidad de);2018;CIGARROS;48755958;euros
Madrid (Comunidad de);2018;P. LIAR;108430057;euros
Madrid (Comunidad de);2018;P. PIPA;18030201;euros
Murcia (Región de);2018;CIGARRILLOS;353060790;euros
Murcia (Región de);2018;CIGARROS;11470998;euros
Murcia (Región de);2018;P. LIAR;28239773;euros
Murcia (Región de);2018;P. PIPA;3527217;euros
Navarra (Comunidad Foral de);2018;CIGARRILLOS;211383270;euros
Navarra (Comunidad Foral de);2018;CIGARROS;12425678;euros
Navarra (Comunidad Foral de);2018;P. LIAR;21969699;euros
Navarra (Comunidad Foral de);2018;P. PIPA;919676;euros
País Vasco;2018;CIGARRILLOS;538940665;euros
País Vasco;2018;CIGARROS;42815739;euros
País Vasco;2018;P. LIAR;42609382;euros
País Vasco;2018;P. PIPA;2658304;euros
Rioja (La);2018;CIGARRILLOS;72773625;euros
Rioja (La);2018;CIGARROS;6549154;euros
Rioja (La);2018;P. LIAR;4671758;euros
Rioja (La);2018;P. PIPA;377817;euros
Andalucía;2018;CIGARRILLOS;350331256;unidades
Andalucía;2018;CIGARROS;304025949;unidades
Andalucía;2018;P. LIAR;886685;unidades
Andalucía;2018;P. PIPA;281044;unidades
Aragón;2018;CIGARRILLOS;70898916;unidades
Aragón;2018;CIGARROS;86367515;unidades
Aragón;2018;P. LIAR;155059;unidades
Aragón;2018;P. PIPA;17072;unidades
Asturias (Principado de);2018;CIGARRILLOS;53249787;unidades
Asturias (Principado de);2018;CIGARROS;77265229;unidades
Asturias (Principado de);2018;P. LIAR;107198;unidades
Asturias (Principado de);2018;P. PIPA;10417;unidades
Balears (Illes);2018;CIGARRILLOS;88262042;unidades
Balears (Illes);2018;CIGARROS;50552406;unidades
Balears (Illes);2018;P. LIAR;309239;unidades
Balears (Illes);2018;P. PIPA;25013;unidades
Cantabria;2018;CIGARRILLOS;30651824;unidades
Cantabria;2018;CIGARROS;44467983;unidades
Cantabria;2018;P. LIAR;63945;unidades
Cantabria;2018;P. PIPA;4966;unidades
Castilla y León;2018;CIGARRILLOS;118004181;unidades
Castilla y León;2018;CIGARROS;157236106;unidades
Castilla y León;2018;P. LIAR;242661;unidades
Castilla y León;2018;P. PIPA;32662;unidades
Castilla-La Mancha;2018;CIGARRILLOS;101741005;unidades
Castilla-La Mancha;2018;CIGARROS;96196393;unidades
Castilla-La Mancha;2018;P. LIAR;219868;unidades
Castilla-La Mancha;2018;P. PIPA;37792;unidades
Cataluña;2018;CIGARRILLOS;420229481;unidades
Cataluña;2018;CIGARROS;352815249;unidades
Cataluña;2018;P. LIAR;1347221;unidades
Cataluña;2018;P. PIPA;170347;unidades
