Comunidad;Año;Labor;Totales;Unidades
Cantabria;2013;P. LIAR;11888419;euros
Cantabria;2013;P. PIPA;251451;euros
Castilla y León;2013;CIGARRILLOS;561937663;euros
Castilla y León;2013;CIGARROS;40722481;euros
Castilla y León;2013;P. LIAR;48858816;euros
Castilla y León;2013;P. PIPA;1998814;euros
Castilla-La Mancha;2013;CIGARRILLOS;474122989;euros
Castilla-La Mancha;2013;CIGARROS;22559743;euros
Castilla-La Mancha;2013;P. LIAR;56568155;euros
Castilla-La Mancha;2013;P. PIPA;2669691;euros
Cataluña;2013;CIGARRILLOS;1903253447;euros
Cataluña;2013;CIGARROS;92993939;euros
Cataluña;2013;P. LIAR;215062944;euros
Cataluña;2013;P. PIPA;6246114;euros
Comunidad Valenciana;2013;CIGARRILLOS;1214711605;euros
Comunidad Valenciana;2013;CIGARROS;50851038;euros
Comunidad Valenciana;2013;P. LIAR;174377929;euros
Comunidad Valenciana;2013;P. PIPA;6472740;euros
Extremadura;2013;CIGARRILLOS;266726421;euros
Extremadura;2013;CIGARROS;14434668;euros
Extremadura;2013;P. LIAR;30500065;euros
Extremadura;2013;P. PIPA;1261620;euros
Galicia;2013;CIGARRILLOS;579517406;euros
Galicia;2013;CIGARROS;32683834;euros
Galicia;2013;P. LIAR;48816740;euros
Galicia;2013;P. PIPA;775957;euros
Madrid (Comunidad de);2013;CIGARRILLOS;1359233890;euros
Madrid (Comunidad de);2013;CIGARROS;47585206;euros
Madrid (Comunidad de);2013;P. LIAR;123054536;euros
Madrid (Comunidad de);2013;P. PIPA;3081016;euros
Murcia (Región de);2013;CIGARRILLOS;363057625;euros
Murcia (Región de);2013;CIGARROS;12299665;euros
Murcia (Región de);2013;P. LIAR;41783971;euros
Murcia (Región de);2013;P. PIPA;1534964;euros
Navarra (Comunidad Foral de);2013;CIGARRILLOS;220531248;euros
Navarra (Comunidad Foral de);2013;CIGARROS;14588202;euros
Navarra (Comunidad Foral de);2013;P. LIAR;19686787;euros
Navarra (Comunidad Foral de);2013;P. PIPA;357534;euros
País Vasco;2013;CIGARRILLOS;558864102;euros
País Vasco;2013;CIGARROS;47563000;euros
País Vasco;2013;P. LIAR;37346616;euros
País Vasco;2013;P. PIPA;751320;euros
Rioja (La);2013;CIGARRILLOS;71865000;euros
Rioja (La);2013;CIGARROS;7175293;euros
Rioja (La);2013;P. LIAR;5351895;euros
Rioja (La);2013;P. PIPA;190351;euros
Andalucía;2013;CIGARRILLOS;357326519;unidades
Andalucía;2013;CIGARROS;340442461;unidades
Andalucía;2013;P. LIAR;1115909;unidades
Andalucía;2013;P. PIPA;138011;unidades
Aragón;2013;CIGARRILLOS;75350070;unidades
Aragón;2013;CIGARROS;102636286;unidades
Aragón;2013;P. LIAR;200276;unidades
Aragón;2013;P. PIPA;10469;unidades
Asturias (Principado de);2013;CIGARRILLOS;60767978;unidades
Asturias (Principado de);2013;CIGARROS;88840338;unidades
Asturias (Principado de);2013;P. LIAR;132627;unidades
Asturias (Principado de);2013;P. PIPA;4255;unidades
Balears (Illes);2013;CIGARRILLOS;86923848;unidades
Balears (Illes);2013;CIGARROS;56949370;unidades
Balears (Illes);2013;P. LIAR;303406;unidades
Balears (Illes);2013;P. PIPA;13561;unidades
Cantabria;2013;CIGARRILLOS;33201794;unidades
Cantabria;2013;CIGARROS;52957882;unidades
Cantabria;2013;P. LIAR;75353;unidades
Cantabria;2013;P. PIPA;3244;unidades
Castilla y León;2013;CIGARRILLOS;130542893;unidades
Castilla y León;2013;CIGARROS;179615855;unidades
Castilla y León;2013;P. LIAR;311124;unidades
Castilla y León;2013;P. PIPA;25337;unidades
Castilla-La Mancha;2013;CIGARRILLOS;110633497;unidades
Castilla-La Mancha;2013;CIGARROS;117794817;unidades
Castilla-La Mancha;2013;P. LIAR;361506;unidades
Castilla-La Mancha;2013;P. PIPA;34584;unidades
Cataluña;2013;CIGARRILLOS;440909598;unidades
Cataluña;2013;CIGARROS;367815949;unidades
Cataluña;2013;P. LIAR;1370346;unidades
Cataluña;2013;P. PIPA;102155;unidades
Comunidad Valenciana;2013;CIGARRILLOS;284678441;unidades
Comunidad Valenciana;2013;CIGARROS;267620070;unidades
Comunidad Valenciana;2013;P. LIAR;1109854;unidades
Comunidad Valenciana;2013;P. PIPA;85991;unidades
Extremadura;2013;CIGARRILLOS;62472842;unidades
Extremadura;2013;CIGARROS;83020251;unidades
Extremadura;2013;P. LIAR;194735;unidades
Extremadura;2013;P. PIPA;14564;unidades
Galicia;2013;CIGARRILLOS;134969904;unidades
Galicia;2013;CIGARROS;169201790;unidades
Galicia;2013;P. LIAR;309039;unidades
Galicia;2013;P. PIPA;9441;unidades
Madrid (Comunidad de);2013;CIGARRILLOS;315999791;unidades
Madrid (Comunidad de);2013;CIGARROS;190056067;unidades
Madrid (Comunidad de);2013;P. LIAR;781091;unidades
Madrid (Comunidad de);2013;P. PIPA;49889;unidades
Murcia (Región de);2013;CIGARRILLOS;84192136;unidades
Murcia (Región de);2013;CIGARROS;59705815;unidades
Murcia (Región de);2013;P. LIAR;265568;unidades
Murcia (Región de);2013;P. PIPA;21039;unidades
Navarra (Comunidad Foral de);2013;CIGARRILLOS;51449611;unidades
Navarra (Comunidad Foral de);2013;CIGARROS;55319859;unidades
Navarra (Comunidad Foral de);2013;P. LIAR;126499;unidades
Navarra (Comunidad Foral de);2013;P. PIPA;5277;unidades
País Vasco;2013;CIGARRILLOS;129284979;unidades
País Vasco;2013;CIGARROS;169868051;unidades
País Vasco;2013;P. LIAR;238570;unidades
País Vasco;2013;P. PIPA;12249;unidades
Rioja (La);2013;CIGARRILLOS;16709317;unidades
Rioja (La);2013;CIGARROS;27741537;unidades
Rioja (La);2013;P. LIAR;33867;unidades
Rioja (La);2013;P. PIPA;2577;unidades
Andalucía;2012;CIGARRILLOS;1735787971;euros
Andalucía;2012;CIGARROS;59167274;euros
Andalucía;2012;P. LIAR;144293438;euros
Andalucía;2012;P. PIPA;9864285;euros
Aragón;2012;CIGARRILLOS;338348567;euros
Aragón;2012;CIGARROS;18851759;euros
Aragón;2012;P. LIAR;24249271;euros
Aragón;2012;P. PIPA;1014174;euros
Asturias (Principado de);2012;CIGARRILLOS;268048193;euros
Asturias (Principado de);2012;CIGARROS;16550364;euros
Asturias (Principado de);2012;P. LIAR;15434536;euros
Asturias (Principado de);2012;P. PIPA;458697;euros
Balears (Illes);2012;CIGARRILLOS;394494933;euros
Balears (Illes);2012;CIGARROS;14494020;euros
Balears (Illes);2012;P. LIAR;45718532;euros
Balears (Illes);2012;P. PIPA;1057981;euros
Cantabria;2012;CIGARRILLOS;149314870;euros
Cantabria;2012;CIGARROS;10078074;euros
Cantabria;2012;P. LIAR;8993061;euros
Cantabria;2012;P. PIPA;322655;euros
Castilla y León;2012;CIGARRILLOS;581240483;euros
Castilla y León;2012;CIGARROS;38130676;euros
Castilla y León;2012;P. LIAR;35680282;euros
Castilla y León;2012;P. PIPA;1974163;euros
Castilla-La Mancha;2012;CIGARRILLOS;503843692;euros
Castilla-La Mancha;2012;CIGARROS;20678462;euros
Castilla-La Mancha;2012;P. LIAR;40873252;euros
Castilla-La Mancha;2012;P. PIPA;2417017;euros
Cataluña;2012;CIGARRILLOS;1997772835;euros
Cataluña;2012;CIGARROS;88293928;euros
Cataluña;2012;P. LIAR;172940507;euros
Cataluña;2012;P. PIPA;6549684;euros
Comunidad Valenciana;2012;CIGARRILLOS;1282685158;euros
Comunidad Valenciana;2012;CIGARROS;45868003;euros
Comunidad Valenciana;2012;P. LIAR;148270566;euros
Comunidad Valenciana;2012;P. PIPA;7395721;euros
Extremadura;2012;CIGARRILLOS;285868343;euros
Extremadura;2012;CIGARROS;12845496;euros
Extremadura;2012;P. LIAR;21551258;euros
Extremadura;2012;P. PIPA;1285962;euros
Galicia;2012;CIGARRILLOS;586168218;euros
Galicia;2012;CIGARROS;29249140;euros
Galicia;2012;P. LIAR;35916580;euros
Galicia;2012;P. PIPA;935386;euros
Madrid (Comunidad de);2012;CIGARRILLOS;1425136876;euros
Madrid (Comunidad de);2012;CIGARROS;45547263;euros
Madrid (Comunidad de);2012;P. LIAR;92049343;euros
Madrid (Comunidad de);2012;P. PIPA;3700435;euros
Murcia (Región de);2012;CIGARRILLOS;376402464;euros
Murcia (Región de);2012;CIGARROS;11099331;euros
Murcia (Región de);2012;P. LIAR;31020044;euros
Murcia (Región de);2012;P. PIPA;1767431;euros
Navarra (Comunidad Foral de);2012;CIGARRILLOS;229788331;euros
Navarra (Comunidad Foral de);2012;CIGARROS;13797608;euros
Navarra (Comunidad Foral de);2012;P. LIAR;16330960;euros
Navarra (Comunidad Foral de);2012;P. PIPA;398481;euros
País Vasco;2012;CIGARRILLOS;573210850;euros
País Vasco;2012;CIGARROS;45997329;euros
País Vasco;2012;P. LIAR;29545165;euros
País Vasco;2012;P. PIPA;746529;euros
Rioja (La);2012;CIGARRILLOS;71765721;euros
Rioja (La);2012;CIGARROS;6747525;euros
Rioja (La);2012;P. LIAR;3807739;euros
Rioja (La);2012;P. PIPA;167634;euros
Andalucía;2012;CIGARRILLOS;430355030;unidades
Andalucía;2012;CIGARROS;332744747;unidades
Andalucía;2012;P. LIAR;1084878;unidades
Andalucía;2012;P. PIPA;229567;unidades
Aragón;2012;CIGARRILLOS;83938465;unidades
Aragón;2012;CIGARROS;99275764;unidades
Aragón;2012;P. LIAR;182924;unidades
Aragón;2012;P. PIPA;22008;unidades
Asturias (Principado de);2012;CIGARRILLOS;66421497;unidades
Asturias (Principado de);2012;CIGARROS;84149043;unidades
Asturias (Principado de);2012;P. LIAR;116078;unidades
Asturias (Principado de);2012;P. PIPA;8675;unidades
Balears (Illes);2012;CIGARRILLOS;96144941;unidades
Balears (Illes);2012;CIGARROS;55005109;unidades
Balears (Illes);2012;P. LIAR;341179;unidades
Balears (Illes);2012;P. PIPA;20360;unidades
Cantabria;2012;CIGARRILLOS;36718431;unidades
Cantabria;2012;CIGARROS;50890009;unidades
Cantabria;2012;P. LIAR;67335;unidades
Cantabria;2012;P. PIPA;6497;unidades
Castilla y León;2012;CIGARRILLOS;143602578;unidades
Castilla y León;2012;CIGARROS;169785454;unidades
Castilla y León;2012;P. LIAR;267586;unidades
Castilla y León;2012;P. PIPA;42590;unidades
Castilla-La Mancha;2012;CIGARRILLOS;125036371;unidades
Castilla-La Mancha;2012;CIGARROS;112580412;unidades
Castilla-La Mancha;2012;P. LIAR;307527;unidades
Castilla-La Mancha;2012;P. PIPA;55243;unidades
Cataluña;2012;CIGARRILLOS;491919032;unidades
Cataluña;2012;CIGARROS;351577851;unidades
Cataluña;2012;P. LIAR;1306343;unidades
Cataluña;2012;P. PIPA;141427;unidades
Comunidad Valenciana;2012;CIGARRILLOS;319849619;unidades
Comunidad Valenciana;2012;CIGARROS;257151913;unidades
Comunidad Valenciana;2012;P. LIAR;1115418;unidades
Comunidad Valenciana;2012;P. PIPA;160561;unidades
Extremadura;2012;CIGARRILLOS;71301254;unidades
Extremadura;2012;CIGARROS;78521606;unidades
Extremadura;2012;P. LIAR;162553;unidades
Extremadura;2012;P. PIPA;27408;unidades
Galicia;2012;CIGARRILLOS;145360996;unidades
Galicia;2012;CIGARROS;159218570;unidades
Galicia;2012;P. LIAR;269197;unidades
Galicia;2012;P. PIPA;17951;unidades
Madrid (Comunidad de);2012;CIGARRILLOS;352142101;unidades
Madrid (Comunidad de);2012;CIGARROS;177757148;unidades
Madrid (Comunidad de);2012;P. LIAR;688233;unidades
Madrid (Comunidad de);2012;P. PIPA;83719;unidades
Murcia (Región de);2012;CIGARRILLOS;92825640;unidades
Murcia (Región de);2012;CIGARROS;53923272;unidades
Murcia (Región de);2012;P. LIAR;232462;unidades
Murcia (Región de);2012;P. PIPA;40610;unidades
Navarra (Comunidad Foral de);2012;CIGARRILLOS;57127914;unidades
Navarra (Comunidad Foral de);2012;CIGARROS;52239729;unidades
Navarra (Comunidad Foral de);2012;P. LIAR;125530;unidades
Navarra (Comunidad Foral de);2012;P. PIPA;8089;unidades
País Vasco;2012;CIGARRILLOS;141257213;unidades
País Vasco;2012;CIGARROS;162342402;unidades
País Vasco;2012;P. LIAR;224183;unidades
País Vasco;2012;P. PIPA;15338;unidades
Rioja (La);2012;CIGARRILLOS;17731639;unidades
Rioja (La);2012;CIGARROS;25957626;unidades
Rioja (La);2012;P. LIAR;28402;unidades
Rioja (La);2012;P. PIPA;3756;unidades
Andalucía;2011;CIGARRILLOS;1912502841;euros
Andalucía;2011;CIGARROS;50529532;euros
Andalucía;2011;P. LIAR;97355836;euros
Andalucía;2011;P. PIPA;16832136;euros
Aragón;2011;CIGARRILLOS;351840786;euros
Aragón;2011;CIGARROS;16486082;euros
Aragón;2011;P. LIAR;17558312;euros
Aragón;2011;P. PIPA;1521474;euros
Asturias (Principado de);2011;CIGARRILLOS;271620110;euros
Asturias (Principado de);2011;CIGARROS;14630220;euros
Asturias (Principado de);2011;P. LIAR;11333267;euros
Asturias (Principado de);2011;P. PIPA;700374;euros
Balears (Illes);2011;CIGARRILLOS;407327321;euros
Balears (Illes);2011;CIGARROS;12903623;euros
Balears (Illes);2011;P. LIAR;38507854;euros
Balears (Illes);2011;P. PIPA;1506881;euros
Cantabria;2011;CIGARRILLOS;153486359;euros
Cantabria;2011;CIGARROS;8874757;euros
Cantabria;2011;P. LIAR;6926761;euros
Cantabria;2011;P. PIPA;493134;euros
Castilla y León;2011;CIGARRILLOS;601259847;euros
Castilla y León;2011;CIGARROS;35207074;euros
Castilla y León;2011;P. LIAR;25419976;euros
Castilla y León;2011;P. PIPA;2473763;euros
Castilla-La Mancha;2011;CIGARRILLOS;533822055;euros
Castilla-La Mancha;2011;CIGARROS;18196139;euros
Castilla-La Mancha;2011;P. LIAR;23464906;euros
Castilla-La Mancha;2011;P. PIPA;3608713;euros
Cataluña;2011;CIGARRILLOS;2111159901;euros
Cataluña;2011;CIGARROS;83871137;euros
Cataluña;2011;P. LIAR;138586631;euros
Cataluña;2011;P. PIPA;8329295;euros
Comunidad Valenciana;2011;CIGARRILLOS;1343365151;euros
Comunidad Valenciana;2011;CIGARROS;40028619;euros
Comunidad Valenciana;2011;P. LIAR;104700546;euros
Comunidad Valenciana;2011;P. PIPA;13197993;euros
Extremadura;2011;CIGARRILLOS;301109608;euros
Extremadura;2011;CIGARROS;10992638;euros
Extremadura;2011;P. LIAR;12280040;euros
Extremadura;2011;P. PIPA;1883250;euros
Galicia;2011;CIGARRILLOS;594004217;euros
Galicia;2011;CIGARROS;24820939;euros
Galicia;2011;P. LIAR;27046245;euros
Galicia;2011;P. PIPA;1299673;euros
Madrid (Comunidad de);2011;CIGARRILLOS;1452508657;euros
Madrid (Comunidad de);2011;CIGARROS;41539034;euros
Madrid (Comunidad de);2011;P. LIAR;66031007;euros
Madrid (Comunidad de);2011;P. PIPA;4622830;euros
Murcia (Región de);2011;CIGARRILLOS;396197299;euros
Murcia (Región de);2011;CIGARROS;9912239;euros
Murcia (Región de);2011;P. LIAR;18801154;euros
Murcia (Región de);2011;P. PIPA;3335263;euros
Navarra (Comunidad Foral de);2011;CIGARRILLOS;239222933;euros
Navarra (Comunidad Foral de);2011;CIGARROS;13099643;euros
Navarra (Comunidad Foral de);2011;P. LIAR;14286670;euros
Navarra (Comunidad Foral de);2011;P. PIPA;511606;euros
País Vasco;2011;CIGARRILLOS;596514527;euros
País Vasco;2011;CIGARROS;44459546;euros
País Vasco;2011;P. LIAR;26257435;euros
País Vasco;2011;P. PIPA;940912;euros
Rioja (La);2011;CIGARRILLOS;73780205;euros
Rioja (La);2011;CIGARROS;6177282;euros
Rioja (La);2011;P. LIAR;2731502;euros
Rioja (La);2011;P. PIPA;203027;euros
Andalucía;2011;CIGARRILLOS;509446768;unidades
Andalucía;2011;CIGARROS;275465301;unidades
Andalucía;2011;P. LIAR;778668;unidades
Andalucía;2011;P. PIPA;393527;unidades
Aragón;2011;CIGARRILLOS;93826391;unidades
Aragón;2011;CIGARROS;82050077;unidades
Aragón;2011;P. LIAR;141389;unidades
Aragón;2011;P. PIPA;33824;unidades
Asturias (Principado de);2011;CIGARRILLOS;72272313;unidades
Asturias (Principado de);2011;CIGARROS;69948405;unidades
Asturias (Principado de);2011;P. LIAR;91065;unidades
Asturias (Principado de);2011;P. PIPA;14465;unidades
Balears (Illes);2011;CIGARRILLOS;107317301;unidades
Balears (Illes);2011;CIGARROS;43340142;unidades
Balears (Illes);2011;P. LIAR;300334;unidades
Balears (Illes);2011;P. PIPA;31328;unidades
Cantabria;2011;CIGARRILLOS;40610317;unidades
Cantabria;2011;CIGARROS;41046143;unidades
Cantabria;2011;P. LIAR;55427;unidades
Cantabria;2011;P. PIPA;10811;unidades
Castilla y León;2011;CIGARRILLOS;159955412;unidades
Castilla y León;2011;CIGARROS;146028792;unidades
Castilla y León;2011;P. LIAR;204261;unidades
Castilla y León;2011;P. PIPA;54882;unidades
Castilla-La Mancha;2011;CIGARRILLOS;142378673;unidades
Castilla-La Mancha;2011;CIGARROS;93596473;unidades
Castilla-La Mancha;2011;P. LIAR;189772;unidades
Castilla-La Mancha;2011;P. PIPA;82743;unidades
Cataluña;2011;CIGARRILLOS;559575622;unidades
Cataluña;2011;CIGARROS;313545416;unidades
Cataluña;2011;P. LIAR;1114961;unidades
Cataluña;2011;P. PIPA;187776;unidades
Comunidad Valenciana;2011;CIGARRILLOS;359321582;unidades
Comunidad Valenciana;2011;CIGARROS;215630330;unidades
Comunidad Valenciana;2011;P. LIAR;832090;unidades
Comunidad Valenciana;2011;P. PIPA;302323;unidades
Extremadura;2011;CIGARRILLOS;80715744;unidades
Extremadura;2011;CIGARROS;64837448;unidades
Extremadura;2011;P. LIAR;99737;unidades
Extremadura;2011;P. PIPA;41784;unidades
Galicia;2011;CIGARRILLOS;158304677;unidades
Galicia;2011;CIGARROS;128531825;unidades
Galicia;2011;P. LIAR;217359;unidades
Galicia;2011;P. PIPA;26609;unidades
Madrid (Comunidad de);2011;CIGARRILLOS;385331528;unidades
Madrid (Comunidad de);2011;CIGARROS;146875880;unidades
Madrid (Comunidad de);2011;P. LIAR;527886;unidades
Madrid (Comunidad de);2011;P. PIPA;107366;unidades
Murcia (Región de);2011;CIGARRILLOS;104891433;unidades
Murcia (Región de);2011;CIGARROS;43654333;unidades
Murcia (Región de);2011;P. LIAR;150458;unidades
Murcia (Región de);2011;P. PIPA;77070;unidades
Navarra (Comunidad Foral de);2011;CIGARRILLOS;63897450;unidades
Navarra (Comunidad Foral de);2011;CIGARROS;46878736;unidades
Navarra (Comunidad Foral de);2011;P. LIAR;116584;unidades
Navarra (Comunidad Foral de);2011;P. PIPA;11394;unidades
País Vasco;2011;CIGARRILLOS;157973134;unidades
País Vasco;2011;CIGARROS;146008006;unidades
País Vasco;2011;P. LIAR;211948;unidades
País Vasco;2011;P. PIPA;21702;unidades
Rioja (La);2011;CIGARRILLOS;19615089;unidades
Rioja (La);2011;CIGARROS;22524201;unidades
Rioja (La);2011;P. LIAR;21839;unidades
Rioja (La);2011;P. PIPA;4723;unidades
Andalucía;2010;CIGARRILLOS;2133064139;euros
Andalucía;2010;CIGARROS;45205438;euros
Andalucía;2010;P. LIAR;80808852;euros
Andalucía;2010;P. PIPA;3939771;euros
Aragón;2010;CIGARRILLOS;367216606;euros
Aragón;2010;CIGARROS;16031721;euros
Aragón;2010;P. LIAR;11239494;euros
Aragón;2010;P. PIPA;288185;euros
Asturias (Principado de);2010;CIGARRILLOS;286488995;euros
Asturias (Principado de);2010;CIGARROS;14422680;euros
Asturias (Principado de);2010;P. LIAR;6706484;euros
Asturias (Principado de);2010;P. PIPA;227503;euros
Balears (Illes);2010;CIGARRILLOS;424739342;euros
Balears (Illes);2010;CIGARROS;12038470;euros
Balears (Illes);2010;P. LIAR;37134421;euros
Balears (Illes);2010;P. PIPA;711497;euros
Cantabria;2010;CIGARRILLOS;162965825;euros
Cantabria;2010;CIGARROS;8413994;euros
Cantabria;2010;P. LIAR;4663045;euros
Cantabria;2010;P. PIPA;137232;euros
Castilla y León;2010;CIGARRILLOS;642736947;euros
Castilla y León;2010;CIGARROS;37180204;euros
Castilla y León;2010;P. LIAR;15745587;euros
Castilla y León;2010;P. PIPA;586834;euros
Castilla-La Mancha;2010;CIGARRILLOS;561111617;euros
Castilla-La Mancha;2010;CIGARROS;17609901;euros
Castilla-La Mancha;2010;P. LIAR;14976643;euros
Castilla-La Mancha;2010;P. PIPA;579789;euros
Cataluña;2010;CIGARRILLOS;2226310509;euros
Cataluña;2010;CIGARROS;84655547;euros
Cataluña;2010;P. LIAR;106233142;euros
Cataluña;2010;P. PIPA;3472115;euros
Comunidad Valenciana;2010;CIGARRILLOS;1437334690;euros
Comunidad Valenciana;2010;CIGARROS;36380332;euros
Comunidad Valenciana;2010;P. LIAR;98463461;euros
Comunidad Valenciana;2010;P. PIPA;2944545;euros
Extremadura;2010;CIGARRILLOS;316399346;euros
Extremadura;2010;CIGARROS;9224856;euros
Extremadura;2010;P. LIAR;8116577;euros
Extremadura;2010;P. PIPA;300504;euros
Galicia;2010;CIGARRILLOS;638592770;euros
Galicia;2010;CIGARROS;23285807;euros
Galicia;2010;P. LIAR;16519855;euros
Galicia;2010;P. PIPA;369311;euros
Madrid (Comunidad de);2010;CIGARRILLOS;1508320899;euros
Madrid (Comunidad de);2010;CIGARROS;43567106;euros
Madrid (Comunidad de);2010;P. LIAR;39190039;euros
Madrid (Comunidad de);2010;P. PIPA;1638041;euros
Murcia (Región de);2010;CIGARRILLOS;415206504;euros
Murcia (Región de);2010;CIGARROS;10042856;euros
Murcia (Región de);2010;P. LIAR;14164433;euros
Murcia (Región de);2010;P. PIPA;668551;euros
Navarra (Comunidad Foral de);2010;CIGARRILLOS;242951169;euros
Navarra (Comunidad Foral de);2010;CIGARROS;14650005;euros
Navarra (Comunidad Foral de);2010;P. LIAR;10608953;euros
Navarra (Comunidad Foral de);2010;P. PIPA;300342;euros
País Vasco;2010;CIGARRILLOS;621405099;euros
País Vasco;2010;CIGARROS;48056397;euros
País Vasco;2010;P. LIAR;20447188;euros
País Vasco;2010;P. PIPA;506442;euros
Rioja (La);2010;CIGARRILLOS;76632638;euros
Rioja (La);2010;CIGARROS;6823414;euros
Rioja (La);2010;P. LIAR;1540665;euros
Rioja (La);2010;P. PIPA;67310;euros
Andalucía;2010;CIGARRILLOS;641136110;unidades
Andalucía;2010;CIGARROS;215842975;unidades
Andalucía;2010;P. LIAR;895667;unidades
Andalucía;2010;P. PIPA;95259;unidades
Aragón;2010;CIGARRILLOS;110831203;unidades
Aragón;2010;CIGARROS;63678307;unidades
Aragón;2010;P. LIAR;126256;unidades
Aragón;2010;P. PIPA;6062;unidades
Asturias (Principado de);2010;CIGARRILLOS;85988781;unidades
Asturias (Principado de);2010;CIGARROS;55289611;unidades
Asturias (Principado de);2010;P. LIAR;74237;unidades
Asturias (Principado de);2010;P. PIPA;3906;unidades
Balears (Illes);2010;CIGARRILLOS;125479752;unidades
Balears (Illes);2010;CIGARROS;32894334;unidades
Balears (Illes);2010;P. LIAR;401168;unidades
Balears (Illes);2010;P. PIPA;12801;unidades
Cantabria;2010;CIGARRILLOS;48562249;unidades
Cantabria;2010;CIGARROS;29668098;unidades
Cantabria;2010;P. LIAR;51783;unidades
Cantabria;2010;P. PIPA;2578;unidades
Castilla y León;2010;CIGARRILLOS;192731509;unidades
Castilla y León;2010;CIGARROS;122587878;unidades
Castilla y León;2010;P. LIAR;176897;unidades
Castilla y León;2010;P. PIPA;11967;unidades
Castilla-La Mancha;2010;CIGARRILLOS;168696863;unidades
Castilla-La Mancha;2010;CIGARROS;73083509;unidades
Castilla-La Mancha;2010;P. LIAR;170810;unidades
Castilla-La Mancha;2010;P. PIPA;14054;unidades
Cataluña;2010;CIGARRILLOS;666759767;unidades
Cataluña;2010;CIGARROS;273816068;unidades
Cataluña;2010;P. LIAR;1184722;unidades
Cataluña;2010;P. PIPA;79668;unidades
Comunidad Valenciana;2010;CIGARRILLOS;435002351;unidades
Comunidad Valenciana;2010;CIGARROS;169204384;unidades
Comunidad Valenciana;2010;P. LIAR;1083815;unidades
Comunidad Valenciana;2010;P. PIPA;62683;unidades
Extremadura;2010;CIGARRILLOS;95697290;unidades
Extremadura;2010;CIGARROS;46164865;unidades
Extremadura;2010;P. LIAR;92670;unidades
Extremadura;2010;P. PIPA;5707;unidades
Galicia;2010;CIGARRILLOS;191863786;unidades
Galicia;2010;CIGARROS;93772439;unidades
Galicia;2010;P. LIAR;183003;unidades
Galicia;2010;P. PIPA;6337;unidades
Madrid (Comunidad de);2010;CIGARRILLOS;452382778;unidades
Madrid (Comunidad de);2010;CIGARROS;124783521;unidades
Madrid (Comunidad de);2010;P. LIAR;434456;unidades
Madrid (Comunidad de);2010;P. PIPA;39489;unidades
Murcia (Región de);2010;CIGARRILLOS;123731501;unidades
Murcia (Región de);2010;CIGARROS;36224809;unidades
Murcia (Región de);2010;P. LIAR;158335;unidades
Murcia (Región de);2010;P. PIPA;15560;unidades
Navarra (Comunidad Foral de);2010;CIGARRILLOS;73629810;unidades
Navarra (Comunidad Foral de);2010;CIGARROS;44903862;unidades
Navarra (Comunidad Foral de);2010;P. LIAR;120454;unidades
Navarra (Comunidad Foral de);2010;P. PIPA;6574;unidades
País Vasco;2010;CIGARRILLOS;186027883;unidades
País Vasco;2010;CIGARROS;133960833;unidades
País Vasco;2010;P. LIAR;228520;unidades
País Vasco;2010;P. PIPA;12114;unidades
Rioja (La);2010;CIGARRILLOS;23015925;unidades
Rioja (La);2010;CIGARROS;19724574;unidades
Rioja (La);2010;P. LIAR;17059;unidades
Rioja (La);2010;P. PIPA;1554;unidades
Andalucía;2009;CIGARRILLOS;2125912913;euros
Andalucía;2009;CIGARROS;41377948;euros
Andalucía;2009;P. LIAR;73057943;euros
Andalucía;2009;P. PIPA;1556653;euros
Aragón;2009;CIGARRILLOS;354094062;euros
Aragón;2009;CIGARROS;15310994;euros
Aragón;2009;P. LIAR;6010453;euros
Aragón;2009;P. PIPA;200468;euros
Asturias (Principado de);2009;CIGARRILLOS;272984735;euros
Asturias (Principado de);2009;CIGARROS;13453067;euros
Asturias (Principado de);2009;P. LIAR;3037973;euros
Asturias (Principado de);2009;P. PIPA;154978;euros
Balears (Illes);2009;CIGARRILLOS;418949128;euros
Balears (Illes);2009;CIGARROS;12053725;euros
Balears (Illes);2009;P. LIAR;35457601;euros
Balears (Illes);2009;P. PIPA;615724;euros
Cantabria;2009;CIGARRILLOS;155360310;euros
Cantabria;2009;CIGARROS;7977222;euros
Cantabria;2009;P. LIAR;2210370;euros
Cantabria;2009;P. PIPA;80667;euros
Castilla y León;2009;CIGARRILLOS;613131918;euros
Castilla y León;2009;CIGARROS;35255376;euros
Castilla y León;2009;P. LIAR;8064885;euros
Castilla y León;2009;P. PIPA;311692;euros
Castilla-La Mancha;2009;CIGARRILLOS;528164635;euros
Castilla-La Mancha;2009;CIGARROS;16455497;euros
Castilla-La Mancha;2009;P. LIAR;9883360;euros
Castilla-La Mancha;2009;P. PIPA;186105;euros
Cataluña;2009;CIGARRILLOS;2192540997;euros
Cataluña;2009;CIGARROS;83772613;euros
Cataluña;2009;P. LIAR;86696640;euros
Cataluña;2009;P. PIPA;2605247;euros
Comunidad Valenciana;2009;CIGARRILLOS;1404498493;euros
Comunidad Valenciana;2009;CIGARROS;33430839;euros
Comunidad Valenciana;2009;P. LIAR;94795491;euros
Comunidad Valenciana;2009;P. PIPA;1234309;euros
Extremadura;2009;CIGARRILLOS;296954388;euros
Extremadura;2009;CIGARROS;8495530;euros
Extremadura;2009;P. LIAR;6673701;euros
Extremadura;2009;P. PIPA;120229;euros
Galicia;2009;CIGARRILLOS;609736893;euros
